name,symbol,coinbase_tradable,network,asset_type,centralization_class
0x,ZRX,True,,,
1inch Network,1INCH,True,,,
Aave,AAVE,True,,,
Adventure Gold,AGLD,True,,,
Aergo,AERGO,True,,,
Aerodrome Finance,AERO,True,,,
Aethir,ATH,True,,,
AIOZ Network,AIOZ,True,,,
Akash Network,AKT,True,,,
Alchemix,ALCX,True,,,
Alchemy Pay,ACH,True,,,
Aleph.im,ALEPH,True,,,
Algorand,ALGO,True,,,
Amp,AMP,True,,,
Ankr,ANKR,True,,,
ApeCoin,APE,True,,,
API3,API3,True,,,
Aptos,APT,True,,,
Arbitrum,ARB,True,,,
ArcBlock,ABT,True,,,
ARPA,ARPA,True,,,
Assemble,ASM,True,,,
Avalanche,AVAX,True,,,
Aventus,AVT,True,,,
Axelar,AXL,True,,,
Axie Infinity Shards,AXS,True,,,
AWE,AWE,True,,,
BADGER,BADGER,True,,,
Balancer,BAL,True,,,
Bancor Network Token,BNT,True,,,
Band Token,BAND,True,,,
BankrCoin,BNKR,True,,,
BAT,BAT,True,,,
Beam,BEAM,True,,,
Berachain,BERA,True,,,
Biconomy,BICO,True,,,
Bio Protocol,BIO,True,,,
Bitcoin,BTC,True,,,
Bitcoin Cash,BCH,True,,,
Bittensor,TAO,True,,,
Blast,BLAST,True,,,
Bluzelle,BLZ,True,,,
Bonk,BONK,True,,,
Bounce Token,AUCTION,True,,,
Braintrust,BTRST,True,,,
Cardano,ADA,True,,,
Cartesi,CTSI,True,,,
Celestia,TIA,True,,,
Celo,CGLD,True,,,
Centrifuge,CFG,True,,,
ChainLink,LINK,True,,,
Civic,CVC,True,,,
Coin98,C98,True,,,
Coinbase Wrapped Staked ETH,cbETH,True,,,
Compound,COMP,True,,,
Convex Finance,CVX,True,,,
Cookie DAO,COOKIE,True,,,
Core,CORE,True,,,
Cosmos,ATOM,True,,,
Cryptex Finance,CTX,True,,,
Crypto.com Coin,CRO,True,,,
Curve,CRV,True,,,
DAI Stablecoin,DAI,True,,,
Decentraland,MANA,True,,,
Degen,DEGEN,True,,,
Dfinity,ICP,True,,,
DIA,DIA,True,,,
Doge,DOGE,True,,,
dogwifhat,WIF,True,,,
Ethereum,ETH,True,,,
Ethereum Classic,ETC,True,,,
Ethereum Name Service,ENS,True,,,
Fetch,FET,True,,,
Filecoin,FIL,True,,,
Flare,FLR,True,,,
Flow,FLOW,True,,,
Fluid,FLUID,True,,,
Forta,FORT,True,,,
FOX Token,FOX,True,,,
Freysa,FAI,True,,,
Gitcoin,GTC,True,,,
Gnosis,GNO,True,,,
Gods Unchained,GODS,True,,,
Goldfinch,GFI,True,,,
Golem,GLM,True,,,
Gravity,G,True,,,
Harvest Finance,FARM,True,,,
Hedera,HBAR,True,,,
Helium,HNT,True,,,
Horizen,ZEN,True,,,
IDEX,IDEX,True,,,
iExec RLC,RLC,True,,,
Illuvium,ILV,True,,,
ImmutableX,IMX,True,,,
Index Cooperative,INDEX,True,,,
Injective,INJ,True,,,
Inverse Finance,INV,True,,,
IoTeX,IOTX,True,,,
Jasmy,JASMY,True,,,
Jito,JTO,True,,,
Jito Staked SOL,JITOSOL,True,,,
Jupiter,JUPITER,True,,,
Karrat,KARRAT,True,,,
Keeta,KTA,True,,,
kryll,KRL,True,,,
Kusama,KSM,True,,,
Kyber Network,KNC,True,,,
LCX Token,LCX,True,,,
Lido DAO,LDO,True,,,
Liquity,LQTY,True,,,
Litecoin,LTC,True,,,
Livepeer,LPT,True,,,
LoopringCoin,LRC,True,,,
Maker,MKR,True,,,
Maple Finance,SYRUP,True,,,
Marinade,MNDE,True,,,
Marinade Staked SOL,mSOL,True,,,
Mask Network,MASK,True,,,
Matic Token,MATIC,True,,,
Measurable Data Token,MDT,True,,,
Melon,MLN,True,,,
Metaplex,MPLX,True,,,
Metis,METIS,True,,,
Meteora,MET,True,,,
Mezo,MEZO,True,,,
Mina,MINA,True,,,
Monad,MON,True,,,
Moonwell,WELL,True,,,
Morpho,MORPHO,True,,,
MultiversX,EGLD,True,,,
My Neighbor Alice,ALICE,True,,,
NEAR Protocol,NEAR,True,,,
NKN,NKN,True,,,
Nomina,NOM,True,,,
Numeraire,NMR,True,,,
Oasis,ROSE,True,,,
Ondo,ONDO,True,,,
Optimism,OP,True,,,
Orca,ORCA,True,,,
Orchid Token,OXT,True,,,
Origin Token,OGN,True,,,
Origin Trails,TRAC,True,,,
Osmosis,OSMO,True,,,
Parcl,PRCL,True,,,
Paxos Gold,PAXG,True,,,
Paxos Standard,PAX,True,,,
PayPal USD,PYUSD,True,,,
Pendle,PENDLE,True,,,
Pepe,PEPE,True,,,
Perpetual Protocol,PERP,True,,,
Plume,PLUME,True,,,
Pluton,PLU,True,,,
Polkadot,DOT,True,,,
Polkastarter,POLS,True,,,
Polygon Ecosystem Token,POL,True,,,
PolySwarm,NCT,True,,,
Powerledger,POWR,True,,,
Propy,PRO,True,,,
Pudgy Penguins,PENGU,True,,,
Pyth Network,PYTH,True,,,
Quant,QNT,True,,,
Rarible,RARI,True,,,
Raydium,RAY,True,,,
Render,RENDER,True,,,
Render Token,RNDR,True,,,
Request Network,REQ,True,,,
Ronin,RONIN,True,,,
Safe,SAFE,True,,,
Seeker,SKR,True,,,
Sei,SEI,True,,,
Shiba Inu,SHIB,True,,,
Shping,SHPING,True,,,
Skale Labs,SKL,True,,,
Sky,SKY,True,,,
Solana,SOL,True,,,
Sonic,S,True,,,
Spell Token,SPELL,True,,,
Stacks,STX,True,,,
Stader,SD,True,,,
Starknet,STRK,True,,,
Stellar,XLM,True,,,
STEPN,GMT,True,,,
Storj Token,STORJ,True,,,
Subsquid,SQD,True,,,
Sui,SUI,True,,,
Suku,SUKU,True,,,
SuperFarm,SUPER,True,,,
SwftCoin,SWFTC,True,,,
Tellor,TRB,True,,,
Tezos,XTZ,True,,,
The Graph,GRT,True,,,
The Sandbox,SAND,True,,,
Toshi,TOSHI,True,,,
UMA Voting Token,UMA,True,,,
Uniswap,UNI,True,,,
USD Coin,USDC,True,,,
Vara,VARA,True,,,
VeChain,VET,True,,,
Velodrome Finance,VELO,True,,,
Venice Token,VVV,True,,,
VeThor Token,VTHO,True,,,
Virtuals Protocol,VIRTUAL,True,,,
Walrus,WAL,True,,,
World Mobile Token,WMTX,True,,,
Wrapped Ronin,WRON,True,,,
XRP,XRP,True,,,
XYO,XYO,True,,,
Yearn.finance,YFI,True,,,
Zcash,ZEC,True,,,
